institution,trials,prospectively registered,percentage,conf_int_ll,conf_int_ul
Aalborg University,30,18,60,42.3,75.4
Aalborg University Hospital,17,10,58.8,36,78.4
Aarhus University,165,90,54.5,46.9,62
Aarhus University Hospital,31,18,58.1,40.8,73.6
Akershus University Hospital,10,8,80,49,96.39999999999999
Bispebjerg and Frederiksberg Hospital,52,28,53.8,40.5,66.7
Copenhagen University Hospital,118,69,58.5,49.5,67
Danderyd Hospital,7,1,14.3,0.7000000000000001,51.300000000000004
Gothenburg University,19,6,31.6,15.4,54
Haukeland university hospital,25,12,48,30,66.5
Helsinki University Hospital,33,11,33.3,19.8,50.4
Herlev and Gentofte Hospital,81,35,43.2,33,54.1
Holbæk Hospital,2,1,50,2.6,97.39999999999999
Hvidovre and Amager Hospital,40,26,65,49.5,77.9
Karolinska Institutet,150,74,49.3,41.4,57.3
Karolinska University Hospital,34,12,35.3,21.5,52.1
Kuopio University Hospital,13,9,69.2,42.4,87.3
Linkoeping University,32,11,34.4,20.4,51.7
Linkoeping University Hospital,13,5,38.5,17.7,64.5
Lund University,30,12,40,24.6,57.699999999999996
Mental health services in the Capital Region of Denmark,4,1,25,1.3,69.89999999999999
Næstved Hospital,4,3,75,30.099999999999998,98.7
Nordsjællands Hospital,4,3,75,30.099999999999998,98.7
Norwegian University of Science and Technology,69,45,65.2,53.400000000000006,75.4
Odense University Hospital,64,38,59.4,47.099999999999994,70.5
Örebro University,16,1,6.2,0.3,28.299999999999997
Örebro University Hospital,0,0,NA,NA,NA
Oslo University Hospital,87,49,56.3,45.9,66.3
Oulu University Hospital,5,1,20,1,62.4
Sahlgrenska University Hospital,34,13,38.2,23.9,55.00000000000001
Skane University Hospital,14,6,42.9,21.4,67.4
St. Olav’s University Hospital,23,16,69.6,49.1,84.39999999999999
Steno Diabetes Center Copenhagen,7,4,57.1,25,84.2
Stockholm South General Hospital,3,1,33.3,1.7000000000000002,88.2
Tampere University Hospital,15,4,26.7,10.9,52
The National University Hospital of Iceland,2,1,50,2.6,97.39999999999999
Turku University Hospital,39,26,66.7,51,79.4
UiT The Arctic University of Norway,13,6,46.2,23.200000000000003,70.89999999999999
Umeå University,40,22,55,39.800000000000004,69.3
University Hospital of North Norway,17,12,70.6,46.9,86.7
University Hospital of Umeå,1,0,0,0,94.89999999999999
University of Bergen,30,13,43.3,27.400000000000002,60.8
University of Copenhagen,90,45,50,39.900000000000006,60.099999999999994
University of Eastern Finland,12,7,58.3,32,80.7
University of Helsinki,17,9,52.9,31,73.8
University of Iceland,5,1,20,1,62.4
University of Oslo,21,12,57.1,36.5,75.5
University of Oulu,19,5,26.3,11.799999999999999,48.8
University of Southern Denmark,42,23,54.8,39.900000000000006,68.8
University of Tampere,8,1,12.5,0.6,47.099999999999994
University of Turku,16,7,43.8,23.1,66.8
Uppsala Academic Hospital,6,1,16.7,0.8999999999999999,56.39999999999999
Uppsala University,41,18,43.9,29.9,59
Zealand University Hospital,14,8,57.1,32.6,78.60000000000001
Total,1681,856,50.9,48.5,53.300000000000004
